NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes
2700.0,0.15,0.2,4.0,600.0,3500.0,0.4,0.6,6.0
2100.0,0.05,0.0,4.5,600.0,0.0,0.3,0.5,6.0
1800.0,0.25,0.4,4.5,600.0,1500.0,0.8,0.9,6.0
1800.0,0.05,0.4,5.0,540.0,2500.0,0.5,0.3,6.0
2400.0,0.4,0.4,5.0,600.0,3500.0,0.0,0.0,6.0
2400.0,0.3,0.0,5.0,600.0,3000.0,0.3,0.4,5.4
3000.0,0.05,0.0,4.0,540.0,3000.0,0.7,0.3,5.4
1800.0,0.1,0.15,5.0,600.0,0.0,0.2,1.0,6.0
2700.0,0.35,0.4,3.5,600.0,1000.0,0.9,0.0,6.0
2700.0,0.25,0.15,5.0,480.0,1500.0,0.8,1.0,6.0
2700.0,0.05,0.3,3.5,600.0,5000.0,0.3,0.0,6.0
3000.0,0.35,0.25,4.0,600.0,0.0,0.2,0.4,4.800000000000001
2700.0,0.05,0.0,4.0,600.0,4500.0,0.3,0.1,4.800000000000001
1500.0,0.05,0.2,4.5,480.0,500.0,0.8,0.3,6.0
2400.0,0.05,0.2,3.5,600.0,1500.0,1.0,0.0,6.0
2700.0,0.2,0.1,3.0,480.0,0.0,0.8,0.3,6.0
1800.0,0.2,0.5,4.5,540.0,3500.0,0.7,0.5,5.4
2400.0,0.2,0.0,2.5,600.0,2000.0,0.6,0.4,5.4
3000.0,0.25,0.1,4.0,540.0,2000.0,0.3,0.9,4.800000000000001
3000.0,0.4,0.0,3.5,420.0,2000.0,0.6,0.2,6.0
3000.0,0.35,0.45,4.5,420.0,4500.0,0.3,0.0,6.0
2100.0,0.45,0.0,2.5,600.0,500.0,0.5,0.5,5.4
3000.0,0.1,0.2,3.5,540.0,500.0,0.6,0.1,5.4
3000.0,0.3,0.35,4.0,420.0,0.0,0.0,0.2,6.0
3000.0,0.35,0.15,2.5,480.0,4500.0,0.5,0.1,6.0
2700.0,0.05,0.4,4.0,480.0,3500.0,0.3,0.9,5.4
1800.0,0.2,0.5,3.0,600.0,2000.0,0.9,0.4,6.0
600.0,0.0,0.1,4.0,600.0,3000.0,0.7,0.2,5.4
1500.0,0.45,0.0,5.0,540.0,0.0,0.9,0.3,6.0
2400.0,0.35,0.05,2.0,600.0,1000.0,0.7,0.7,4.800000000000001
1800.0,0.15,0.35,3.5,540.0,3500.0,1.0,0.3,5.4
