Experiment,Reaction,Mg-glutamate (mM),K-glutamate (mM),DTT (mM),Amino acids (mM),HEPES (pH),ATP (mM),GTP (mM),CTP (mM),UTP (mM),tRNA (mg/mL),CoA (mM),NAD (mM),cAMP (mM),Folinic acid (mM),Spermidine (mM),3-PGA (mM),DNA (ug/mL),PEG-8000 (mg/mL),Protease inhibitor (mM),Cell-free protein (mg/mL),deltaFEU,Time to peak (min),Max rate (FEU/min),Rate lag (min),Inflection (min)
DSD1,1,8,60,3,10,8.5,2,1,0.5,1.3,0.3,0.13,0.17,1.13,0.03,1.5,15,60,0,0,8.9,221.4285714,756,1.85,724,385
DSD1,2,2,120,0,10,7.5,1,2,0.5,1.3,0.1,0.13,0.5,1.13,0.03,0.5,45,60,0,2,4.45,0,0,1,164,10
DSD1,3,8,180,3,10,8.5,1,2,1.3,0.5,0.1,0.39,0.5,0.38,0.03,1.5,15,60,0,0,4.45,2.314285714,164,0.875,456,215
DSD1,4,8,180,3,10,7.5,2,1,1.3,0.5,0.1,0.13,0.17,0.755,0.1,1.5,45,60,0,2,4.45,0,0,1,176,10
DSD1,5,2,180,3,50,8.5,1.5,1,0.5,0.5,0.1,0.39,0.17,1.13,0.03,0.5,45,60,0,0,13.35,7.514285714,148,1.375,240,190
DSD1,6,8,60,3,50,7.5,1,2,1.3,0.5,0.1,0.39,0.17,1.13,0.03,0.5,15,60,20,2,13.35,57.04285714,84,1.575,24,70
DSD1,7,8,60,1.5,50,8.5,2,2,0.5,1.3,0.1,0.39,0.5,0.38,0.03,1.5,45,60,0,2,4.45,14.57142857,544,1.4,204,265
DSD1,8,2,60,3,50,8.5,2,1.5,0.5,0.5,0.1,0.13,0.5,0.38,0.1,0.5,15,60,40,0,4.45,20.04285714,576,1.05,220,220
DSD1,9,8,180,0,50,7.5,2,2,0.5,0.5,0.3,0.39,0.17,0.38,0.1,0.5,45,60,0,0,4.45,0,0,0.975,376,235
DSD1,10,2,180,0,50,7.5,1,2,1.3,0.5,0.1,0.39,0.5,0.38,0.1,0.5,45,60,40,2,8.9,0,0,1.075,164,10
DSD1,11,2,180,0,50,8.5,2,2,0.9,0.5,0.1,0.13,0.17,1.13,0.03,1.5,15,60,40,2,4.45,4.3,160,1.075,148,10
DSD1,12,2,180,3,50,8,1,1,0.5,0.5,0.3,0.13,0.5,0.38,0.03,1.5,45,60,0,2,13.35,0,0,0.775,532,205
DSD1,13,8,180,3,10,7.5,2,2,0.5,0.5,0.3,0.13,0.5,0.38,0.03,0.5,15,60,40,2,13.35,52.47142857,136,1.275,620,5
DSD1,14,8,60,0,30,8.5,2,2,1.3,0.5,0.3,0.13,0.5,1.13,0.03,0.5,45,60,0,0,13.35,0,0,0.8,56,100
DSD1,15,8,180,0,10,8.5,2,1,0.5,1.3,0.1,0.39,0.17,0.38,0.03,0.5,30,60,40,2,13.35,21.65714286,208,0.975,36,90
DSD1,16,2,60,0,50,8.5,1,2,0.5,1.3,0.3,0.39,0.5,0.755,0.03,0.5,15,60,40,0,13.35,64.01428571,736,1.175,48,65
DSD1,17,2,180,3,30,7.5,1,1,0.5,1.3,0.1,0.39,0.17,0.38,0.1,1.5,15,60,40,2,4.45,2.757142857,204,1.05,164,100
DSD1,18,8,180,0,10,8.5,1,2,0.5,0.5,0.1,0.13,0.335,1.13,0.1,1.5,45,60,40,0,13.35,404.2857143,720,2.55,152,10
DSD1,19,5,60,0,10,7.5,1,1,0.5,0.5,0.1,0.13,0.17,0.38,0.03,0.5,15,60,0,0,4.45,0,0,1.075,228,15
DSD1,20,2,60,3,50,7.5,1,2,1.3,0.5,0.3,0.13,0.5,1.13,0.1,1.5,30,60,0,0,4.45,0,0,0.9,704,240
DSD1,21,2,60,0,10,7.5,2,1,1.3,0.5,0.1,0.39,0.5,0.38,0.03,1.5,45,60,40,0,13.35,0,0,0.8,380,30
DSD1,22,8,180,0,50,8.5,1,1,1.3,1.3,0.1,0.13,0.5,0.38,0.1,0.5,15,60,0,1,13.35,48.97142857,208,1.425,252,160
DSD1,23,8,180,3,50,8.5,1,2,0.5,1.3,0.3,0.13,0.17,1.13,0.1,0.5,15,60,0,2,4.45,20.58571429,456,1.1,176,230
DSD1,24,5,120,1.5,30,8,1.5,1.5,0.9,0.9,0.2,0.26,0.335,0.755,0.065,1,30,60,20,1,8.9,2.828571429,204,1.55,156,205
DSD1,25,8,180,0,10,7.5,1,1.5,1.3,1.3,0.3,0.39,0.17,1.13,0.03,1.5,45,60,0,2,13.35,0,0,0.85,192,5
DSD1,26,2,180,3,10,7.5,2,2,0.5,1.3,0.1,0.39,0.5,1.13,0.1,1,15,60,0,0,13.35,0,0,0.825,280,5
DSD1,27,8,60,3,10,7.5,1,1,0.9,1.3,0.3,0.39,0.5,0.38,0.1,0.5,45,60,0,0,13.35,0,0,0.875,252,5
DSD1,28,8,60,0,50,8.5,1,1,1.3,0.5,0.3,0.13,0.17,0.38,0.03,1,45,60,40,2,4.45,0.571428571,752,0.825,184,205
DSD1,29,2,60,3,10,7.5,2,2,0.5,0.5,0.3,0.39,0.17,1.13,0.03,1.5,45,60,40,1,4.45,0.071428571,8,1.4,196,15
DSD1,30,8,120,3,50,8.5,2,1,1.3,0.5,0.3,0.39,0.17,0.38,0.1,1.5,15,60,40,0,13.35,7.857142857,720,1.075,564,70
