NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes,Modelled Final Protein,Round #,Pred for Model #: 1,Pred for Model #: 2,Pred for Model #: 3,Pred for Model #: 4,Pred for Model #: 5,Pred for Model #: 6,Pred for Model #: 7,Pred for Model #: 8,Pred for Model #: 9,Pred for Model #: 10,Pred for Model #: 11,Pred for Model #: 12,Pred for Model #: 13,Pred for Model #: 14,Pred for Model #: 15,Pred for Model #: 16,Pred for Model #: 17,Pred for Model #: 18,Pred for Model #: 19,Pred for Model #: 20,Pred for Model #: 21,Pred for Model #: 22,Pred for Model #: 23,Pred for Model #: 24,Pred for Model #: 25,Predicted Mean,StdDev
3000.0,0.5,0.5,5.0,600.0,5000.0,1.0,1.0,6.0,550.9086825277133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.5,0.5,5.0,600.0,5000.0,1.0,1.0,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.0,0.5,5.0,600.0,5000.0,1.0,1.0,6.0,550.9086825277035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.5,0.0,5.0,600.0,5000.0,1.0,1.0,6.0,549.6516842967787,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.5,0.5,0.0,600.0,5000.0,1.0,1.0,6.0,177.29094260308497,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.5,0.5,5.0,0.0,5000.0,1.0,1.0,6.0,1.000000001846377,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.5,0.5,5.0,600.0,0.0,1.0,1.0,6.0,541.5037309292813,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.5,0.5,5.0,600.0,5000.0,0.0,1.0,6.0,508.1229390467407,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.5,0.5,5.0,600.0,5000.0,1.0,0.0,6.0,550.9087093773373,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.5,0.5,5.0,600.0,5000.0,1.0,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.1,0.3,0.5,60.0,1500.0,0.0,0.9,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.0,0.5,0.45,4.0,60.0,1000.0,0.6,1.0,4.199999999999999,60.60000000012869,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.45,0.3,4.0,60.0,1000.0,0.0,0.6,2.4000000000000004,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.1,0.5,5.0,300.0,4500.0,0.1,0.4,3.0,255.96927385587267,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000.0,0.15,0.0,4.5,480.0,4000.0,0.7,0.2,3.6,309.6358253641615,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.5,0.1,4.0,60.0,4500.0,0.5,0.5,6.0,60.49999999998805,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.0,0.05,0.2,3.5,540.0,2500.0,0.9,0.1,0.6000000000000001,47.578240975201126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700.0,0.35,0.45,2.5,60.0,3500.0,0.8,0.5,5.4,60.80000008982044,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
