NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes
2400.0,0.45,0.45,4.0,540.0,4500.0,0.0,0.9,6.0
3000.0,0.35,0.35,5.0,600.0,1500.0,0.2,1.0,4.800000000000001
2400.0,0.2,0.5,4.0,540.0,4500.0,0.9,0.9,6.0
1800.0,0.5,0.35,2.0,600.0,4500.0,0.8,1.0,5.4
3000.0,0.1,0.15,4.5,480.0,2500.0,0.4,1.0,6.0
2100.0,0.45,0.15,3.0,480.0,5000.0,0.8,0.9,4.800000000000001
2700.0,0.35,0.45,4.5,540.0,3500.0,1.0,0.5,5.4
1500.0,0.4,0.05,2.0,540.0,4500.0,1.0,1.0,6.0
3000.0,0.45,0.35,5.0,540.0,2500.0,0.8,0.4,4.800000000000001
1800.0,0.45,0.2,4.0,540.0,0.0,0.9,1.0,6.0
2700.0,0.1,0.35,5.0,540.0,4000.0,0.6,0.9,4.199999999999999
2400.0,0.45,0.3,4.5,480.0,1500.0,0.4,1.0,4.199999999999999
3000.0,0.3,0.15,5.0,240.0,2000.0,0.8,0.7,6.0
1500.0,0.1,0.45,5.0,540.0,4500.0,0.9,1.0,5.4
1800.0,0.4,0.45,5.0,540.0,3000.0,0.0,0.7,6.0
1500.0,0.4,0.0,3.0,480.0,2000.0,1.0,1.0,6.0
3000.0,0.4,0.05,5.0,420.0,3500.0,0.9,0.9,0.6000000000000001
3000.0,0.5,0.35,5.0,540.0,1500.0,1.0,0.1,5.4
2400.0,0.4,0.5,3.0,540.0,1000.0,1.0,0.8,5.4
3000.0,0.45,0.2,4.5,240.0,5000.0,0.0,0.9,3.5999999999999996
3000.0,0.25,0.45,5.0,600.0,3500.0,0.3,0.6,3.5999999999999996
3000.0,0.45,0.45,4.5,240.0,5000.0,0.9,0.2,6.0
3000.0,0.3,0.1,1.5,480.0,5000.0,0.4,0.7,6.0
1800.0,0.5,0.45,2.5,540.0,3500.0,0.3,0.9,5.4
2400.0,0.2,0.3,4.0,540.0,3500.0,0.0,0.9,5.4
2400.0,0.25,0.2,4.0,360.0,3000.0,0.6,1.0,5.4
2700.0,0.25,0.4,5.0,240.0,3000.0,0.7,1.0,4.199999999999999
2400.0,0.35,0.15,2.5,600.0,2500.0,0.8,0.7,5.4
2700.0,0.3,0.0,4.0,360.0,5000.0,0.3,0.5,6.0
2400.0,0.25,0.1,4.0,540.0,5000.0,1.0,0.8,2.4000000000000004
1800.0,0.15,0.05,5.0,540.0,5000.0,0.5,0.7,5.4
2100.0,0.45,0.15,3.0,420.0,4000.0,0.7,1.0,3.5999999999999996
2100.0,0.5,0.1,4.5,120.0,5000.0,0.7,0.6,6.0
2700.0,0.45,0.45,5.0,240.0,2500.0,0.0,0.6,5.4
2700.0,0.4,0.15,2.5,600.0,1500.0,0.4,1.0,3.5999999999999996
2400.0,0.25,0.05,2.0,420.0,4500.0,0.5,0.9,6.0
2400.0,0.45,0.15,3.0,420.0,3000.0,0.5,0.6,6.0
2700.0,0.4,0.4,4.0,180.0,5000.0,0.2,1.0,3.5999999999999996
2400.0,0.4,0.4,2.0,360.0,5000.0,0.9,0.8,4.800000000000001
2700.0,0.5,0.0,4.5,480.0,3000.0,0.2,0.2,5.4
