NTP,tRNA,Amino Acids,Creatine_Phosphate,TL Enzymes,Predicted Final Protein
3000.0,5.0,600.0,500.0,3.5999999999999996,128.95834
3000.0,1.5,600.0,2500.0,0.6000000000000001,126.08727
3000.0,4.0,600.0,3000.0,6.0,124.70084
3000.0,2.0,600.0,1500.0,5.4,122.19896
2700.0,1.5,600.0,1500.0,1.2000000000000002,121.93015
3000.0,4.5,600.0,3500.0,3.5999999999999996,121.521095
3000.0,2.0,600.0,1500.0,1.2000000000000002,121.26281
2700.0,1.5,600.0,2000.0,4.800000000000001,121.1303
3000.0,2.0,600.0,3500.0,1.7999999999999998,120.91185
2700.0,4.0,600.0,5000.0,3.0,120.64474
2100.0,2.0,600.0,1000.0,3.5999999999999996,119.70937
3000.0,3.5,600.0,4500.0,1.2000000000000002,119.64329
3000.0,3.5,600.0,4000.0,2.4000000000000004,119.577156
3000.0,2.5,600.0,4500.0,0.6000000000000001,119.43745
1200.0,3.0,600.0,500.0,6.0,118.66469
2700.0,2.5,600.0,4500.0,4.800000000000001,118.63161
2100.0,5.0,600.0,5000.0,1.7999999999999998,118.62085
2700.0,1.0,600.0,4500.0,4.199999999999999,118.37428
1800.0,0.5,600.0,5000.0,1.7999999999999998,118.01857
2400.0,1.5,600.0,5000.0,0.6000000000000001,117.996666
2700.0,4.0,600.0,3500.0,5.4,117.21104
2400.0,4.5,600.0,500.0,6.0,117.154816
2700.0,2.5,600.0,3500.0,5.4,117.009766
2700.0,0.5,600.0,3500.0,2.4000000000000004,116.224014
2400.0,0.5,600.0,500.0,3.5999999999999996,116.20653
2100.0,3.0,600.0,500.0,4.199999999999999,116.08817
3000.0,4.0,540.0,3000.0,3.0,115.58242
2100.0,2.5,600.0,4500.0,3.0,115.52683
2100.0,4.5,600.0,500.0,1.2000000000000002,115.49907
2100.0,1.5,600.0,500.0,2.4000000000000004,115.42345
2400.0,4.0,600.0,4000.0,4.800000000000001,115.42307
2100.0,1.5,600.0,4500.0,3.0,115.418365
1500.0,4.5,600.0,5000.0,0.6000000000000001,115.17963
3000.0,2.0,540.0,3000.0,1.2000000000000002,115.068756
2700.0,1.0,540.0,500.0,4.199999999999999,114.68417
2400.0,1.5,600.0,4000.0,0.6000000000000001,114.61728
1800.0,0.5,600.0,4500.0,2.4000000000000004,114.114494
3000.0,5.0,540.0,1000.0,4.199999999999999,114.10911
3000.0,2.0,540.0,5000.0,2.4000000000000004,114.09131
3000.0,4.0,540.0,1000.0,3.5999999999999996,114.02083
2100.0,1.0,600.0,1500.0,3.0,113.993935
2100.0,5.0,600.0,1500.0,0.6000000000000001,113.92356
2400.0,4.5,600.0,2000.0,4.800000000000001,113.86163
3000.0,2.5,540.0,5000.0,0.6000000000000001,113.85493
2400.0,5.0,600.0,2000.0,4.199999999999999,113.78391
2700.0,4.5,540.0,2500.0,4.800000000000001,113.2811
3000.0,1.5,360.0,500.0,4.199999999999999,113.12474
3000.0,1.5,360.0,500.0,0.6000000000000001,112.86168
2700.0,4.5,540.0,1500.0,5.4,112.647354
