NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes,Modelled Final Protein,Round #
3000.0,0.5,0.5,5.0,600.0,5000.0,1.0,1.0,6.0,550.9086825277133,0
0.0,0.5,0.5,5.0,600.0,5000.0,1.0,1.0,6.0,0.0,0
3000.0,0.0,0.5,5.0,600.0,5000.0,1.0,1.0,6.0,550.9086825277035,0
3000.0,0.5,0.0,5.0,600.0,5000.0,1.0,1.0,6.0,549.6516842967787,0
3000.0,0.5,0.5,0.0,600.0,5000.0,1.0,1.0,6.0,177.29094260308497,0
3000.0,0.5,0.5,5.0,0.0,5000.0,1.0,1.0,6.0,1.000000001846377,0
3000.0,0.5,0.5,5.0,600.0,0.0,1.0,1.0,6.0,541.5037309292813,0
3000.0,0.5,0.5,5.0,600.0,5000.0,0.0,1.0,6.0,508.12293904674067,0
3000.0,0.5,0.5,5.0,600.0,5000.0,1.0,0.0,6.0,550.9087093773373,0
3000.0,0.5,0.5,5.0,600.0,5000.0,1.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0
1200.0,0.3,0.35,0.5,60.0,5000.0,0.6,1.0,2.4000000000000004,60.59999999265478,0
1500.0,0.25,0.5,0.5,420.0,4500.0,0.3,0.8,1.7999999999999998,44.1740554903028,0
900.0,0.15,0.5,3.0,360.0,3500.0,0.3,0.0,6.0,360.2999999998197,0
600.0,0.25,0.0,1.5,240.0,4000.0,0.4,0.3,4.199999999999999,200.1166318116545,0
1200.0,0.5,0.4,0.0,120.0,3000.0,0.0,0.9,4.800000000000001,0.0,0
1500.0,0.1,0.25,0.0,420.0,3000.0,1.0,0.1,4.199999999999999,123.31272228776491,0
2700.0,0.2,0.4,2.5,240.0,3500.0,0.6,0.6,3.0,197.3047056191386,0
1200.0,0.35,0.5,3.0,60.0,500.0,0.4,1.0,3.5999999999999996,60.40000000112791,0
900.0,0.15,0.15,2.5,540.0,0.0,0.1,0.6,4.199999999999999,182.0675702755417,0
600.0,0.35,0.15,0.5,0.0,2000.0,0.7,0.5,3.5999999999999996,0.6999999999999993,0
1800.0,0.5,0.0,3.5,300.0,5000.0,0.7,0.2,1.7999999999999998,139.60740039763533,0
0.0,0.3,0.0,5.0,300.0,1000.0,0.9,0.0,0.0,0.0,0
1200.0,0.35,0.05,4.5,480.0,2500.0,0.4,0.6,5.4,447.2394304846747,0
900.0,0.25,0.35,2.5,180.0,4000.0,0.4,0.2,3.0,180.39146805406654,0
2700.0,0.2,0.4,4.0,0.0,2500.0,0.6,0.5,1.7999999999999998,0.600000000213022,0
300.0,0.05,0.1,1.5,180.0,1000.0,0.0,0.4,2.4000000000000004,92.66751982331418,0
900.0,0.2,0.05,1.0,60.0,0.0,0.9,0.7,1.7999999999999998,60.89999938907229,0
1800.0,0.05,0.35,3.5,480.0,3500.0,0.4,0.6,4.800000000000001,357.60629095224033,0
1500.0,0.45,0.2,1.5,420.0,1000.0,0.7,0.7,3.5999999999999996,187.84165791788203,0
1500.0,0.4,0.35,4.5,60.0,1000.0,1.0,0.5,0.6000000000000001,52.22950695878605,0
2400.0,0.35,0.4,1.5,120.0,2500.0,0.0,0.9,0.6000000000000001,24.282151393569738,0
600.0,0.15,0.0,0.5,180.0,3500.0,1.0,0.4,2.4000000000000004,96.39904112509353,0
2700.0,0.25,0.4,4.5,300.0,0.0,0.2,0.7,1.2000000000000002,97.35662009243683,0
1200.0,0.3,0.05,3.5,120.0,0.0,0.5,0.3,0.0,0.0,0
2400.0,0.05,0.2,1.0,180.0,4000.0,0.7,0.7,3.5999999999999996,159.63230557074874,0
600.0,0.05,0.15,4.5,120.0,4000.0,0.3,0.4,0.0,0.0,0
2700.0,0.2,0.45,0.5,360.0,3000.0,0.9,0.4,3.0,115.3515526829406,0
1800.0,0.15,0.35,2.0,60.0,4500.0,0.4,0.9,0.6000000000000001,33.727519859963174,0
2100.0,0.4,0.2,1.5,300.0,3000.0,0.8,0.1,0.6000000000000001,32.7330763960997,0
